tweet_id,user_id,created_at,text,url,mentions,lang,favorites,retweets,replies,quotes,view_count,hashtags
1817951750751433040,4714760909,Mon Jul 29 15:54:07 +0000 2024,POV A PiggyVest user says theyre broke ,https://t.co/N85PfTQTl8,,en,391,49,23,16,21638,
1812859851040543052,1267165753687658500,Mon Jul 15 14:40:44 +0000 2024,"save on piggyvest, you say no. ",https://t.co/i0vn64jB3O,,en,13,5,8,0,1573,
1811319457559572628,1519689912886378496,Thu Jul 11 08:39:46 +0000 2024,Piggyvest de madd,https://t.co/4eWt6biAI9,,hu,21,20,12,0,841,
1812106954711396827,1157265391179186178,Sat Jul 13 12:48:59 +0000 2024,"Asides piggyvest, which other bank can one lock savings",,,en,3,0,8,0,506,
1804092066030329994,1397355214580092932,Fri Jun 21 10:00:41 +0000 2024,"PiggyVest is trending because of this video where a lady broke her Kolo and found only N22,000 after saving N14.6 million over two years at the rate of 20k daily according to her. So, Nigerians are asking her why she didn't use the digital PiggyVest kolo to save.",https://t.co/Uc1u3NrhJl,,en,41,8,27,2,16343,
1609712105913044996,2391242593,Mon Jan 02 00:44:07 +0000 2023,Ayyy got A1 in PiggyVest  ,https://t.co/eMVCd1MXmK,,en,1,0,0,0,1135,
1321160691420712960,1060042156092600320,Tue Oct 27 18:43:49 +0000 2020,Piggyvest,,@ensol_jnr_,lt,2,0,1,0,,
1817849128518365402,200088029,Mon Jul 29 09:06:20 +0000 2024,"Na people wey put money for opay I blame Sha. I still very old school..outside of piggyvest and risevest, anything else can't be trusted.",,@bossalihu,en,1,1,0,0,182,
1817998753850151280,1211194544,Mon Jul 29 19:00:54 +0000 2024,Open your Piggyvest my dear.,,,en,0,0,0,0,107,
1817899306768052403,1312789636608131079,Mon Jul 29 12:25:44 +0000 2024,What's funny is the top fintechs in Nigeria didn't even ever sponsor a tv show... maybe Piggyvest at some point  What a Nigeria startup fintech need is Dev and social media presence with a lot of fast customer service. That's why smartcash by Airtel isn't successful.,,,en,0,0,0,0,178,
1812540104956649953,3148348920,Sun Jul 14 17:30:11 +0000 2024,Piggyvest go think say I don die.,,,en,4,1,2,1,526,
1817894945216168120,608212695,Mon Jul 29 12:08:24 +0000 2024,Why I prefer Piggyvest as my savings an investment app,https://t.co/kxk6HBocJg,,en,0,0,0,0,63,
1816074428075139340,1211635651671494656,Wed Jul 24 11:34:19 +0000 2024,"Hear me out My Woman N990,000 My piggyvest N5,000 Guiding N5,000",,,en,4,2,3,1,668,
1815873126737015032,1136421843777269760,Tue Jul 23 22:14:25 +0000 2024,"Hear me out My man N990,000 My piggyvest N5,000 Guiding N5,000",,,en,4720,1480,234,341,561710,
