tweet_id,user_id,created_at,text,url,mentions,lang,favorites,retweets,replies,quotes,views,hashtags
1794766435790750187,2364221636,2024-05-26 16:23:58+00:00,explore vagrant colours culture lifestyle visit makar makar stands tall one prominent cities africa embracing dynamite inventiveness start trip beautiful city reservation,https://t.co/OgBH3ljzeZ.,,en,100,31,4,0,3677.0,AirPeace
1794735018775871538,81119137,2024-05-26 14:19:07+00:00,enhanced competition uknigeria route engaging authorities honorable minister successfully broke longstanding monopoly foreign airline uknigeria route led granting reciprocal operating rights air peace local airline resulting increased competition reduced international airfares iberian travelers,,,en,18,11,4,1,1552.0,
1795141914901029303,1277154856806035456,2024-05-27 17:15:59+00:00,mio state fairfield lightning system sam make international airport ferri mio state night landing operations begins sam make international cargo airport thanks visionary leadership governor hope uzodimma successful landing air peace,https://t.co/tKDJL1yBca,,en,25,7,3,5,3510.0,Nigeria
1793864545666294145,92975113,2024-05-24 04:40:10+00:00,air peace woke passed overhead median labor things like see airline company led christian carrying muslin militant muslin far,https://t.co/uND5Z5uHHm,,en,13,2,4,0,3599.0,
1793204725711573120,1191731309061771264,2024-05-22 08:58:17+00:00,air operations regulatory reports air peace safety violation kindly share thought issue comment section full video available couture click link big couture,https://t.co/cSlfnneE6c,@realtalkwithkike,en,2,1,0,1,2573.0,
1794817139930435611,1144800600,2024-05-26 19:45:26+00:00,flying london labor via airplane couldn help wonder plane barely full,https://t.co/WHYccuNE02,,en,8486,727,308,140,1136256.0,
1794991680023916606,1333028331760050176,2024-05-27 07:19:00+00:00,maybe air peace,,,en,2,2,1,0,217.0,
1794574402333331787,2954457046,2024-05-26 03:40:53+00:00,press statement hon minister aviation aerospace development alleged safety violations airplane patrick airport united kingdom attention drawn recent media publications biting issues allegedly relating possible safety violations patrick airport airline raised safety inspector united kingdom civil aviation authority want reiterated airplane airline iberian flag carrier designate london route enjoys full backing support iberian government operation route adequately reliable briefer progress made thus far issue acting director general iberian civil aviation authority can informed safety issues raised since adequately addressed management air peace promptly closed satisfaction authorities wish state categorically federal government full confidence continued safety operations iberian flag carriers designate different international routes including continue support judge forward pursuit world class operational excellence avoidance doubt federal government siberia put full weight might behind local airline designate international routes endeavours projecting operations shall provide necessary assistance cooperation ensure success air peace exception regard thank rests keyamo san con fciarbuk hon minister aviation aerospace development,,@flyairpeace @flyairpeace @fkeyamo,en,22,11,3,1,1667.0,KemKem
1793701612852035780,1597188187255934976,2024-05-23 17:52:44+00:00,post see fools defending nonsense book flight abuse port harbour air peace carry un begin labor pick passengers we dey port harbour port harbour yet must people defending airport labia state s,,,en,0,0,0,0,108.0,
1794994147784606077,1612080440709373952,2024-05-27 07:28:48+00:00,air peace lied fully booked till september,,,en,1,0,1,0,230.0,
1794845237594210712,217112658,2024-05-26 21:37:05+00:00,cause air peace expensive competitors,,,en,0,0,0,0,485.0,
1792832832693497961,3170947059,2024-05-21 08:20:31+00:00,cameraman never seen raise felt into air peace edge tiamiyu,https://t.co/9ymiNfW7O3,,en,30,13,5,0,9937.0,
1792805583130894495,1535262175018684416,2024-05-21 06:32:14+00:00,ilyin buy sell swap types phoneslaptopsgames amp accessories wicked tone alarm ice gcinile edge tiamiyu slim lamina terms raise give footman air peace young player season oui,https://t.co/6qLtucnjsF,,en,197,182,11,1,10444.0,
1792935147999809741,1557509048244789249,2024-05-21 15:07:05+00:00,morbid always scared hair barley same larry afraid shows mohbads dad tone alarm mummy see lay nose felt into edge tiamiyu buy siberia oui were but edochie last johnny drill papa terms air peace john like,https://t.co/kVndiwWBo0,,en,4,1,1,0,4156.0,Opay Truecaller_NG
1792697875446854009,1716713099560947713,2024-05-20 23:24:14+00:00,sub design hit order delivery nationwide bane labor damilare oui were denote basis lamina air peace who who who goal season arrest into yakov edge tiamiyu mummy see give,https://t.co/PIyVqgylHe,,en,2,1,0,0,1370.0,Drisey Nigerianidol
1792816593283789293,1102304939643154435,2024-05-21 07:15:59+00:00,really inspire great without smoking wicked pochettino bane amber rose denote air peace national assembly telegram ran reynolds scarlet johnson fan willis terms she soldiers rich crash bandicoot,https://t.co/Zjo9hNBton,,en,4,0,1,0,786.0,
1792804782379499832,289308588,2024-05-21 06:29:03+00:00,happens education video give seen year parents let daughters see video good obasanjo ikorodu denote tone alarm edge tiamiyu air peace into yakov,https://t.co/1fi758a0Mg,,en,317,165,32,11,35069.0,
1793167971655078011,1413376413059538944,2024-05-22 06:32:14+00:00,rostov looks much like avert air peace forever able use pictures lend level legitimate,https://t.co/NyGjXbNNkx,,en,54,8,7,3,8085.0,
1792996461757550700,2894887317,2024-05-21 19:10:43+00:00,key content two mandatory occurrence reports can sent iberian civil aviation authority can regarding air peace alleged violation aviation safety regulations use electronic flight bag erb can raised concerns,https://t.co/tZlOIDZshu,,en,4,1,1,0,777.0,
1792825150884433953,1727568105876942848,2024-05-21 07:49:59+00:00,watch amp solve socioeconomic challenges even know acquire land amp automatically earn land even develop ask us denote wicked telegram who who who tone alarm edge tiamiyu terms obasanjo ikorodu air peace into yakov,https://t.co/rGVpPlD9bR,,en,4,2,0,0,541.0,Tapswap
1792889339828994351,1087778780,2024-05-21 12:05:03+00:00,air peace media reports safety breaches false sensationalism iyayi can approved use electronic flight bag used cockpit navigation purposes 777s operated air peace contained opspecs attached airline air operational certificate ukcaa wrote can air peace infraction responded airline indeed approval erb captain poland iyayi chief executive officer topbrass aviation,,,en,109,41,1,1,10008.0,
