tweet_id,user_id,created_at,text,url,mentions,lang,favorites,retweets,replies,quotes,view_count,hashtags
1819284859774185727,3285635532,Fri Aug 02 08:11:25 +0000 2024,My first 2D animation. Decided to create something using the PiggyVest logo.,https://t.co/VPWo4cv6pT,,en,584,162,76,17,16685,
1819161239660253354,1265070931942260741,Fri Aug 02 00:00:12 +0000 2024,I want to open a piggyvest account and Im so confused  Can someone help me please  ,,,en,0,0,1,0,102,
1819203816593440900,1524127044065542144,Fri Aug 02 02:49:23 +0000 2024,"Checked piggyvest savings plan, both naira and dollar, not worth it for me tbh",,,en,0,0,1,0,114,
1819075023472414911,805832048288075776,Thu Aug 01 18:17:37 +0000 2024,Some people you dont know you have to claim your interest on piggyvest The one you receive as a mail is flex interest. It is totally different from your piggybank interest,,,en,3,2,3,1,580,
1674308001820205056,911078310674710529,Thu Jun 29 06:45:09 +0000 2023,Between Piggyvest and Cowrywise which is more Reliable for Saving ,https://t.co/2GqZou5Si1,,en,18,11,17,0,9491,
1671954945468235794,334899816,Thu Jun 22 18:54:57 +0000 2023,Hey Twitter NaijaI am an independent filmmaker creating short contents and I just created this short inspired by vision pro and I think youll like it kindly Rt so someone can see my work  Titanic  Fireboy  PiggyVest,https://t.co/nl4IMucmgB,@Apple,en,41,19,1,0,3478,
1669573501374611456,1196377835746795520,Fri Jun 16 05:11:56 +0000 2023,Lol Piggyvest so funny Saved 15M for 6 months and interest was 440K You mean if I did business with that for 6 months I wont make a million You are actually mad,,,en,7928,966,738,611,2338810,
1674528256534380545,1227870926768922624,Thu Jun 29 21:20:22 +0000 2023,Mide send me ur piggyvest account.,,,en,1,0,4,0,448,
1368198292631412737,103406102,Sat Mar 06 13:54:27 +0000 2021,"Fellas, If she got PiggyVest app on her phone, shes not broke.",,,en,4634,1208,306,351,,
1544661814428028928,1122992576041291778,Wed Jul 06 12:37:29 +0000 2022,"Please and please o. You can say anything but leave that Piggyvest alone. I broke my piggyvest for a guy before and not only did I regret it after, now hes calling Tinubu his leader ",,,en,2273,811,174,180,,
1819099546950971587,146362675,Thu Aug 01 19:55:03 +0000 2024,I authorised a direct debit on my Access bank account to my Piggyvest account. The amount was deducted from my account but my Piggyvest Account wasn't credited. Kindly help result this issue. Thanks,,@accessbank_help,en,0,0,1,0,40,
1819162104466706703,579901119,Fri Aug 02 00:03:38 +0000 2024,I open my Chowdeck app at least 6 times a day but open PiggyVest maybe 6 times a month Theyve leveraged their mobile app traffic to start running native banner ads and any type of ad will convert so far awareness and clicks is the KPI,,@bigbrutha_ @0x @kofookesola,en,1,0,0,0,151,
1819304231200829874,1372966102863650819,Fri Aug 02 09:28:24 +0000 2024,Piggyvest must pay you I swear to God,,,en,1,0,0,0,93,
1819444761545109546,1182973245433221122,Fri Aug 02 18:46:49 +0000 2024,Make I go check my PiggyVest ,,@Erotic_shoppe,en,0,0,0,0,12,
